full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,age,BMI
Marcus Smart,82,36,Boston Celtics,G,03/06/94,1.91,103.0,12553571,USA,2014,1,6,Oklahoma State,NBA2k20,30,28.23387516789562
Myles Turner,82,33,Indiana Pacers,F-C,03/24/96,2.11,108.4,18000000,USA,2015,1,11,Texas,NBA2k20,28,24.34806046584758
Serge Ibaka,81,9,Toronto Raptors,F,09/18/89,2.13,108.9,23271604,Spain,2008,1,24,,NBA2k20,34,24.00317397341798
Zion Williamson,81,1,New Orleans Pelicans,F,07/06/00,1.98,128.8,9757440,USA,2019,1,1,Duke,NBA2k20,23,32.853790429548006
Rudy Gay,81,22,San Antonio Spurs,F,08/17/86,2.03,104.3,14500000,USA,2006,1,8,UConn,NBA2k20,37,25.310005095974187
Aaron Gordon,81,0,Orlando Magic,F,09/16/95,2.03,99.8,19863636,USA,2014,1,4,Arizona,NBA2k20,28,24.218010628746153
Brandon Ingram,81,14,New Orleans Pelicans,F,09/02/97,2.01,88.9,7265485,USA,2016,1,2,Duke,NBA2k20,26,22.00440583153883
DeAndre Jordan,81,6,Brooklyn Nets,C,07/21/88,2.11,120.2,9881598,USA,2008,2,35,Texas A&M,NBA2k20,35,26.998495092203683
Domantas Sabonis,81,11,Indiana Pacers,F-C,05/03/96,2.11,104.8,3529554,Lithuania,2016,1,11,Gonzaga,NBA2k20,27,23.53945329170504
Jonas Valanciunas,81,17,Memphis Grizzlies,C,05/06/92,2.11,104.8,16000000,Lithuania,2011,1,5,,NBA2k20,31,23.53945329170504
Hassan Whiteside,81,21,Portland Trail Blazers,C,06/13/89,2.13,106.6,27093018,USA,2010,2,33,Marshall,NBA2k20,34,23.496219885825127
Derrick Rose,80,25,Detroit Pistons,G,10/04/88,1.88,86.2,7317074,USA,2008,1,1,Memphis,NBA2k20,35,24.38886373924853
Robert Covington,80,33,Houston Rockets,F,12/14/90,2.01,94.8,11301219,USA,2013,Undrafted,Undrafted,Tennessee State,NBA2k20,33,23.464765723620708
Derrick Favors,80,22,New Orleans Pelicans,F,07/15/91,2.06,111.6,17650000,USA,2010,1,3,Georgia Tech,NBA2k20,32,26.298425864831746
Gordon Hayward,80,20,Boston Celtics,F,03/23/90,2.01,93.9,32700690,USA,2010,1,9,Butler,NBA2k20,34,23.24199896042178
Reggie Jackson,80,0,Los Angeles Clippers,G,04/16/90,1.91,94.3,17799677,USA,2011,1,24,Boston College,NBA2k20,34,25.84907211973356
Enes Kanter,80,11,Boston Celtics,C,05/20/92,2.08,118.8,4767000,Turkey,2011,1,3,,NBA2k20,31,27.459319526627215
Otto Porter,80,22,Chicago Bulls,F,06/03/93,2.03,89.8,27250576,USA,2013,1,2,Georgetown,NBA2k20,30,21.791356257128303
JJ Redick,80,4,New Orleans Pelicans,G,06/24/84,1.91,86.2,13486300,USA,2006,1,11,Duke,NBA2k20,39,23.628738247306817
Josh Richardson,80,0,Philadelphia 76ers,G,09/15/93,1.96,90.7,10116576,USA,2015,2,40,Tennessee,NBA2k20,30,23.60995418575594
TJ Warren,80,1,Indiana Pacers,F,09/05/93,2.03,99.8,11060000,USA,2014,1,14,NC State,NBA2k20,30,24.218010628746153
Ja Morant,79,12,Memphis Grizzlies,G,08/10/99,1.91,78.9,8730240,USA,2019,1,2,Murray State,NBA2k20,24,21.62769660919383
Bam Adebayo,79,13,Miami Heat,F-C,07/18/97,2.06,110.2,3454080,USA,2017,1,14,Kentucky,NBA2k20,26,25.968517296634936
Jarrett Allen,79,31,Brooklyn Nets,C,04/20/98,2.11,106.1,2376840,USA,2017,1,22,Texas,NBA2k20,26,23.831450326812067
Lonzo Ball,79,2,New Orleans Pelicans,G,10/27/97,1.98,86.2,8719320,USA,2017,1,2,UCLA,NBA2k20,26,21.987552290582595
Harrison Barnes,79,40,Sacramento Kings,F,05/30/92,2.03,95.3,24147727,USA,2012,1,7,North Carolina,NBA2k20,31,23.12601616151812
Patrick Beverley,79,21,Los Angeles Clippers,G,07/12/88,1.85,81.6,12345680,USA,2009,2,42,Arkansas,NBA2k20,35,23.842220598977352
Jaylen Brown,79,7,Boston Celtics,F,10/24/96,1.98,101.2,6534829,USA,2016,1,3,California,NBA2k20,27,25.813692480359148
Willie Cauley-Stein,79,0,Dallas Mavericks,C,08/18/93,2.13,109.8,2177483,USA,2015,1,6,Kentucky,NBA2k20,30,24.201547312041264
Goran Dragic,79,7,Miami Heat,G,05/06/86,1.91,86.2,19217900,Slovenia,2008,2,45,,NBA2k20,37,23.628738247306817
Shai Gilgeous-Alexander,79,2,Oklahoma City Thunder,G,07/12/98,1.96,81.6,3952920,Canada,2018,1,11,Kentucky,NBA2k20,25,21.241149521032902
Gary Harris,79,14,Denver Nuggets,G,09/14/94,1.93,93.0,17839286,USA,2014,1,19,Michigan State,NBA2k20,29,24.967113211092915
Joe Ingles,79,2,Utah Jazz,F,10/02/87,2.01,94.8,11454546,Australia,2009,Undrafted,Undrafted,,NBA2k20,36,23.464765723620708
Jeremy Lamb,79,26,Indiana Pacers,G,05/30/92,1.96,81.6,10500000,USA,2012,1,12,UConn,NBA2k20,31,21.241149521032902
Brook Lopez,79,11,Milwaukee Bucks,C,04/01/88,2.13,120.2,12093024,USA,2008,1,10,Stanford,NBA2k20,36,26.493861447243717
JaVale McGee,79,7,Los Angeles Lakers,C,01/19/88,2.13,122.5,4000000,USA,2008,1,18,Nevada,NBA2k20,36,27.000815534836565
Mitchell Robinson,79,23,New York Knicks,C,04/01/98,2.13,101.2,1559712,USA,2018,2,36,,NBA2k20,26,22.305979854085393
Terrence Ross,79,8,Orlando Magic,G,02/05/91,1.98,93.4,12500000,USA,2012,1,8,Washington,NBA2k20,33,23.82409958167534
Tristan Thompson,79,13,Cleveland Cavaliers,F,03/13/91,2.06,102.1,18539130,Canada,2011,1,4,Texas,NBA2k20,33,24.05976058063908
PJ Tucker,79,17,Houston Rockets,F,05/05/85,1.96,102.1,8349039,USA,2006,2,35,Texas,NBA2k20,38,26.57746772178259
Fred VanVleet,79,23,Toronto Raptors,G,02/25/94,1.85,89.4,9346153,USA,2006,Undrafted,Undrafted,Wichita State,NBA2k20,30,26.12125639152666
Andrew Wiggins,79,22,Golden State Warriors,F,02/23/95,2.01,89.4,27504630,Canada,2014,1,1,Kansas,NBA2k20,29,22.128165144427125
Thaddeus Young,79,21,Chicago Bulls,F,06/21/88,2.03,99.8,12900000,USA,2007,1,12,Georgia Tech,NBA2k20,35,24.218010628746153
RJ Barrett,78,9,New York Knicks,G,06/14/00,1.98,91.6,7839960,Canada,2019,1,3,Duke,NBA2k20,23,23.364962758902152
Ricky Rubio,78,11,Phoenix Suns,G,10/21/90,1.91,81.6,16200000,Spain,2009,1,5,,NBA2k20,33,22.36780790000274
Will Barton,78,5,Denver Nuggets,G,01/06/91,1.96,79.4,12776786,USA,2012,2,40,Memphis,NBA2k20,33,20.668471470220744
Bogdan Bogdanovic,78,8,Sacramento Kings,G,08/18/92,1.98,93.0,8529386,Serbia,2014,1,27,,NBA2k20,31,23.72206917661463
Thomas Bryant,78,13,Washington Wizards,F-C,07/31/97,2.08,109.3,8000000,USA,2017,2,42,Indiana,NBA2k20,26,25.263498520710055
Wendell Carter,78,34,Chicago Bulls,C,04/16/99,2.06,117.5,5201400,USA,2018,1,7,Duke,NBA2k20,25,27.688754830804037
Jordan Clarkson,78,8,Utah Jazz,G,06/07/92,1.93,84.4,13437500,Philippines,2014,2,46,Missouri,NBA2k20,31,22.65832639802411
Evan Fournier,78,10,Orlando Magic,G,10/29/92,2.01,86.2,17150000,France,2012,1,20,,NBA2k20,31,21.336105541942036
Eric Gordon,78,10,Houston Rockets,G,12/25/88,1.91,97.5,14057730,USA,2008,1,7,Indiana,NBA2k20,35,26.72624105698857
JaMychal Green,78,4,Los Angeles Clippers,F,06/21/90,2.03,99.8,4767000,USA,2012,Undrafted,Undrafted,Alabama,NBA2k20,33,24.218010628746153
Joe Harris,78,12,Brooklyn Nets,G,09/06/91,1.98,97.5,7666667,USA,2014,2,33,Virginia,NBA2k20,32,24.869911233547597
Andre Iguodala,78,9,Miami Heat,G-F,01/28/84,1.98,93.9,17185185,USA,2004,1,9,Arizona,NBA2k20,40,23.951637588001226
