full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,age,BMI
Chris Boucher,71,25,Toronto Raptors,F-C,01/11/93,2.06,90.7,1588231,Canada,2017,Undrafted,Undrafted,Oregon,NBA2k20,31,21.373362239607882
Jevon Carter,71,4,Phoenix Suns,G,09/14/95,1.85,90.7,1416852,USA,2018,2,32,West Virginia,NBA2k20,28,26.501095690284878
Deyonta Davis,71,0,,F-C,12/02/96,2.08,108.9,250000,USA,2016,2,31,Michigan State,NBA2k20,27,25.17104289940828
Jacob Evans,71,0,Minnesota Timberwolves,G,06/18/97,1.93,95.3,1925880,USA,2018,1,28,Cincinnati,NBA2k20,26,25.584579451797364
Terrance Ferguson,71,23,Oklahoma City Thunder,G,05/17/98,1.98,83.5,2475840,USA,2017,1,21,,NBA2k20,25,21.298847056422815
Daniel Gafford,71,12,Chicago Bulls,F,10/01/98,2.08,106.1,898310,USA,2019,2,38,Arkansas,NBA2k20,25,24.523853550295854
Treveon Graham,71,12,Atlanta Hawks,G,10/28/93,1.96,99.3,1645357,USA,2015,Undrafted,Undrafted,VCU,NBA2k20,30,25.84860474802166
Frank Jackson,71,15,New Orleans Pelicans,G,05/04/98,1.91,93.0,1618520,USA,2017,2,31,Duke,NBA2k20,25,25.492722238973712
Luke Kornet,71,2,Chicago Bulls,C,07/15/95,2.18,108.9,2250000,USA,2017,Undrafted,Undrafted,Vanderbilt,NBA2k20,28,22.914737816682095
Frank Mason,71,15,Milwaukee Bucks,G,04/13/94,1.8,86.2,79568,USA,2017,2,34,Kansas,NBA2k20,30,26.604938271604937
Ben McLemore,71,16,Houston Rockets,G,02/11/93,1.91,85.7,2028594,USA,2013,1,7,Kansas,NBA2k20,31,23.49168060086072
Dzanan Musa,71,13,Brooklyn Nets,F,05/08/99,2.06,88.5,1911600,Bosnia and Herzegovina,2018,1,29,,NBA2k20,24,20.854934489584316
Elie Okobo,71,2,Phoenix Suns,G,10/23/97,1.91,86.2,1416852,France,2018,2,31,,NBA2k20,26,23.628738247306817
Jerome Robinson,71,1,Washington Wizards,G,02/22/97,1.93,86.2,3567720,USA,2018,1,13,Boston College,NBA2k20,27,23.14156084727107
JaKarr Sampson,71,14,Indiana Pacers,F,03/20/93,2.01,101.2,1737145,USA,2014,Undrafted,Undrafted,St. John's,NBA2k20,31,25.048884928590883
Edmond Sumner,71,5,Indiana Pacers,G,12/13/95,1.93,84.4,2000000,USA,2017,2,52,Xavier,NBA2k20,28,22.65832639802411
Gary Trent Jr,71,2,Portland Trail Blazers,G,01/18/99,1.96,94.8,1416852,USA,2018,2,37,Duke,NBA2k20,25,24.677217825905874
Moritz Wagner,71,21,Washington Wizards,F,04/26/97,2.11,108.9,2063520,Germany,2018,1,25,Michigan,NBA2k20,27,24.460367017811823
Admiral Schofield,71,1,Washington Wizards,F,03/30/97,1.96,109.3,1000000,USA,2019,2,42,Tennessee,NBA2k20,27,28.45168679716785
Bruno Fernando,71,24,Atlanta Hawks,F,08/15/98,2.06,111.1,1400000,Angola,2019,2,34,Maryland,NBA2k20,25,26.180601376190026
Alen Smailagic,71,6,Golden State Warriors,F,08/18/00,2.08,97.5,898310,Serbia,2019,2,39,,NBA2k20,23,22.53605769230769
Eric Paschall,71,7,Golden State Warriors,F,11/04/96,1.98,115.7,898310,USA,2019,2,41,Villanova,NBA2k20,27,29.51229466380982
Carsen Edwards,71,4,Boston Celtics,G,03/12/98,1.8,90.7,1228026,USA,2019,2,33,Purdue,NBA2k20,26,27.993827160493826
KZ Okpala,71,4,Miami Heat,F,04/28/99,2.03,97.5,898310,USA,2019,2,32,Stanford,NBA2k20,25,23.65988012327405
Shake Milton,71,18,Philadelphia 76ers,C,09/26/96,1.96,93.0,1445697,USA,2018,2,54,SMU,NBA2k20,27,24.20866305705956
Chimezie Metu,71,7,San Antonio Spurs,F,03/22/97,2.06,102.1,1416852,Nigeria,2018,2,49,USC,NBA2k20,27,24.05976058063908
Keita Bates-Diop,70,0,Denver Nuggets,F,01/23/96,2.03,106.6,1416852,USA,2018,2,48,Ohio State,NBA2k20,28,25.86813560144629
Darius Bazley,70,7,Oklahoma City Thunder,F,06/12/00,2.03,90.7,2284800,USA,2019,1,23,,NBA2k20,23,22.00975515057391
Tony Bradley,70,13,Utah Jazz,F-C,01/08/98,2.08,112.5,1962360,USA,2017,1,28,North Carolina,NBA2k20,26,26.00314349112426
Hamidou Diallo,70,6,Oklahoma City Thunder,G,07/31/98,1.96,89.8,1416852,USA,2018,2,45,Kentucky,NBA2k20,25,23.37567680133278
Melvin Frazier,70,35,Orlando Magic,F,08/30/96,1.96,91.2,1416852,USA,2018,2,35,Tulane,NBA2k20,27,23.740108288213246
Solomon Hill,70,44,Miami Heat,F,03/18/91,1.98,102.5,13290395,USA,2013,1,23,Arizona,NBA2k20,33,26.145291296806448
Alize Johnson,70,24,Indiana Pacers,F,04/26/96,2.01,91.2,1416852,USA,2018,2,50,Missouri State,NBA2k20,28,22.573698670824985
Skal Labissiere,70,0,Atlanta Hawks,C-F,03/18/96,2.08,98.0,2338846,Haiti,2016,1,28,Kentucky,NBA2k20,28,22.65162721893491
Tyler Lydon,70,0,,F-C,04/09/96,2.06,99.8,50000,USA,2017,1,24,Syracuse,NBA2k20,28,23.51776793288717
Sviatoslav Mykhailiuk,70,19,Detroit Pistons,G,06/10/97,2.01,93.0,1416852,Ukraine,2018,2,47,Kansas,NBA2k20,26,23.01923219722285
Johnathan Motley,70,15,Los Angeles Clippers,F,05/04/95,2.03,104.3,79568,USA,2017,Undrafted,Undrafted,Baylor,NBA2k20,28,25.310005095974187
Abdel Nader,70,11,Oklahoma City Thunder,F,09/25/93,1.96,102.1,1618520,Egypt,2016,2,58,Iowa State,NBA2k20,30,26.57746772178259
Miles Plumlee,70,0,,F-C,09/01/88,2.11,115.7,12500000,USA,2012,1,26,Duke,NBA2k20,35,25.987736124525508
Caleb Swanigan,70,50,Portland Trail Blazers,C,04/18/97,2.06,112.9,2033160,USA,2017,1,26,Purdue,NBA2k20,27,26.604769535300218
Jarred Vanderbilt,70,0,Minnesota Timberwolves,F,04/03/99,2.06,97.1,1416852,USA,2018,2,41,Kentucky,NBA2k20,25,22.881515694221886
Jemerrio Jones,70,0,,F,04/09/95,1.96,91.2,195077,USA,2018,Undrafted,Undrafted,New Mexico State,NBA2k20,29,23.740108288213246
Jordan Poole,70,3,Golden State Warriors,G,06/19/99,1.93,88.0,1964760,USA,2019,1,28,Michigan,NBA2k20,24,23.624795296518027
Talen Horton-Tucker,70,5,Los Angeles Lakers,G,11/20/00,1.93,106.1,898310,USA,2019,2,46,Iowa State,NBA2k20,23,28.483986147279122
Yante Maten,70,0,,F-C,08/14/96,2.03,108.9,100000,USA,2018,Undrafted,Undrafted,Georgia,NBA2k20,27,26.4262661069184
Thanasis Antetokounmpo,70,43,Milwaukee Bucks,F,07/18/92,1.98,97.5,1445697,Greece,2014,2,51,,NBA2k20,31,24.869911233547597
Naz Reid,70,11,Minnesota Timberwolves,C,08/26/99,2.06,112.9,898310,USA,2019,Undrafted,Undrafted,LSU,NBA2k20,24,26.604769535300218
Ignas Brazdeikis,70,17,New York Knicks,F,01/08/99,1.98,98.0,898310,Canada,2019,2,47,Michigan,NBA2k20,25,24.997449239873482
Deonte Burton,70,30,Oklahoma City Thunder,G,06/26/91,1.93,108.9,1416852,USA,2014,Undrafted,Undrafted,Iowa State,NBA2k20,32,29.235684179441062
Justin James,70,10,Sacramento Kings,G,01/24/97,2.01,86.2,898310,USA,2019,2,40,Wyoming,NBA2k20,27,21.336105541942036
Henry Ellenson,69,0,,F-C,01/13/97,2.08,109.8,79568,USA,2016,1,18,Marquette,NBA2k20,27,25.379068047337274
Devonte Graham,69,0,Charlotte Hornets,G,02/22/95,1.85,83.9,1416852,USA,2018,2,34,Kansas,NBA2k20,29,24.514243973703433
Amile Jefferson,69,0,,F-C,05/07/93,2.06,101.6,1529007,USA,2017,Undrafted,Undrafted,Duke,NBA2k20,30,23.94193609199736
Khyri Thomas,69,13,Detroit Pistons,G,05/08/96,1.91,95.3,1416852,USA,2018,2,38,Creighton,NBA2k20,27,26.12318741262575
Theo Pinson,69,0,New York Knicks,G,11/05/95,1.96,99.8,1445697,USA,2018,Undrafted,Undrafted,North Carolina,NBA2k20,28,25.978758850478968
Gary Clark,69,0,Orlando Magic,F,11/16/94,1.98,102.1,1427191,USA,2018,Undrafted,Undrafted,Cincinnati,NBA2k20,29,26.04326089174574
Terance Mann,69,14,Los Angeles Clippers,G,10/18/96,1.96,97.5,1000000,USA,2019,2,48,Florida State,NBA2k20,27,25.380049979175347
Cam Reynolds,69,13,Milwaukee Bucks,G,02/07/95,2.01,102.1,79568,USA,2018,Undrafted,Undrafted,Tulane,NBA2k20,29,25.271651691789813
Tyrone Wallace,69,0,,G-F,06/10/94,1.96,90.7,502491,USA,2016,2,60,California,NBA2k20,29,23.60995418575594
Miye Oni,69,24,Utah Jazz,F,08/04/97,1.96,95.3,898310,USA,2019,2,58,Yale,NBA2k20,26,24.80737192836318
Malcolm Miller,69,13,Toronto Raptors,F,03/06/93,2.01,93.0,1588231,USA,2015,Undrafted,Undrafted,Holy Cross,NBA2k20,31,23.01923219722285
Isaac Bonga,68,17,Washington Wizards,G,11/08/99,2.03,90.7,1416852,Germany,2018,2,39,,NBA2k20,24,22.00975515057391
Isaiah Hartenstein,68,0,,F-C,05/05/98,2.13,113.4,1416852,Germany,2017,2,43,,NBA2k20,25,24.995040666534422
Jordan McRae,68,0,Detroit Pistons,G,03/28/91,1.96,81.2,1254933,USA,2014,2,58,Tennessee,NBA2k20,33,21.13702623906706
Brandon Goodwin,68,0,Atlanta Hawks,G,10/02/95,1.83,81.6,522738,USA,2018,Undrafted,Undrafted,Florida Gulf Coast,NBA2k20,28,24.36620980023291
Michael Frazier,68,21,Houston Rockets,G,03/08/94,1.91,90.7,79568,USA,2015,2,60,Florida,NBA2k20,30,24.862257065321675
Kostas Antetokounmpo,68,37,Los Angeles Lakers,F,11/20/97,2.08,90.7,79568,Greece,2018,Undrafted,Undrafted,Dayton,NBA2k20,26,20.964312130177515
Jalen Lecque,68,0,Phoenix Suns,G,06/13/00,1.91,86.2,898310,USA,2019,Undrafted,Undrafted,,NBA2k20,23,23.628738247306817
Duncan Robinson,67,55,Miami Heat,F,04/22/94,2.01,97.5,1416852,USA,2018,Undrafted,Undrafted,Michigan,NBA2k20,30,24.1330660132175
LeBron James,97,6,Los Angeles Lakers,F,12/30/84,2.06,113.4,39219566,USA,2003,1,1,,NBA2k21,39,26.722594023941937
Giannis Antetokounmpo,97,34,Milwaukee Bucks,F-G,12/06/94,2.11,109.8,27528088,Greece,2013,1,15,,NBA2k21,29,24.662518811347454
Kawhi Leonard,96,2,Los Angeles Clippers,F,06/29/91,2.01,102.1,34379100,USA,2011,1,15,San Diego State,NBA2k21,32,25.271651691789813
James Harden,96,13,Brooklyn Nets,G,08/26/89,1.96,99.8,41254920,USA,2009,1,3,Arizona State,NBA2k21,34,25.978758850478968
Stephen Curry,95,30,Golden State Warriors,G,03/14/88,1.91,83.9,43006362,USA,2009,1,7,Davidson,NBA2k21,36,22.998273073654783
Kevin Durant,95,7,Brooklyn Nets,F,09/29/88,2.08,104.3,42018900,USA,2007,1,2,Texas,NBA2k21,35,24.107803254437865
Anthony Davis,95,3,Los Angeles Lakers,F-C,03/11/93,2.08,100.7,32742000,USA,2012,1,1,Kentucky,NBA2k21,31,23.27570266272189
Luka Doncic,94,77,Dallas Mavericks,G-F,02/28/99,2.01,103.0,8049360,Slovenia,2018,1,3,,NBA2k21,25,25.494418454988743
Damian Lillard,94,0,Portland Trail Blazers,G,07/15/90,1.88,88.5,31626953,USA,2012,1,6,Weber State,NBA2k21,33,25.039610683567226
Joel Embiid,91,21,Philadelphia 76ers,C,03/16/94,2.13,113.4,29542010,Cameroon,2014,1,3,Kansas,NBA2k21,30,24.995040666534422
Stephen Curry,96,30,Golden State Warriors,G,03/14/88,1.91,83.9,45780966,USA,2009,1,7,Davidson,NBA2k22,36,22.998273073654783
Kevin Durant,96,7,Brooklyn Nets,F,09/29/88,2.08,104.3,40918900,USA,2007,1,2,Texas,NBA2k22,35,24.107803254437865
LeBron James,96,6,Los Angeles Lakers,F,12/30/84,2.06,113.4,41180544,USA,2003,1,1,,NBA2k22,39,26.722594023941937
Giannis Antetokounmpo,96,34,Milwaukee Bucks,F-G,12/06/94,2.11,109.8,39344900,Greece,2013,1,15,,NBA2k22,29,24.662518811347454
Nikola Jokic,95,15,Denver Nuggets,C,02/19/95,2.13,114.8,31044906,Serbia,2014,2,41,,NBA2k22,29,25.303621415503983
Joel Embiid,95,21,Philadelphia 76ers,C,03/16/94,2.13,113.4,31579390,Cameroon,2014,1,3,Kansas,NBA2k22,30,24.995040666534422
Kawhi Leonard,95,2,Los Angeles Clippers,F,06/29/91,2.01,102.1,39344900,USA,2011,1,15,San Diego State,NBA2k22,32,25.271651691789813
Luka Doncic,94,77,Dallas Mavericks,G-F,02/28/99,2.01,103.0,10174391,Slovenia,2018,1,3,,NBA2k22,25,25.494418454988743
Damian Lillard,94,0,Portland Trail Blazers,G,07/15/90,1.88,88.5,39344900,USA,2012,1,6,Weber State,NBA2k22,33,25.039610683567226
James Harden,94,13,Brooklyn Nets,G,08/26/89,1.96,99.8,44310840,USA,2009,1,3,Arizona State,NBA2k22,34,25.978758850478968
Paul George,90,13,Los Angeles Clippers,F,05/02/90,2.03,95.3,35450412,USA,2010,1,10,Fresno State,NBA2k21,33,23.12601616151812
Nikola Jokic,90,15,Denver Nuggets,C,02/19/95,2.13,114.8,29542010,Serbia,2014,2,41,,NBA2k21,29,25.303621415503983
Kyrie Irving,90,11,Brooklyn Nets,G,03/23/92,1.88,81.6,33722850,Australia,2011,1,1,Duke,NBA2k21,32,23.087369850611136
Karl-Anthony Towns,90,32,Minnesota Timberwolves,F-C,11/15/95,2.11,112.5,29467800,USA,2015,1,1,Kentucky,NBA2k21,28,25.26897419195436
Klay Thompson,89,11,Golden State Warriors,G,02/08/90,1.98,93.0,35361360,USA,2011,1,11,Washington State,NBA2k21,34,23.72206917661463
Jimmy Butler,89,22,Miami Heat,G,09/14/89,2.01,99.8,34379100,USA,2011,1,30,Marquette,NBA2k21,34,24.702358852503657
Trae Young,88,11,Atlanta Hawks,G,09/19/98,1.85,81.6,6571800,USA,2018,1,5,Oklahoma,NBA2k21,25,23.842220598977352
Russell Westbrook,88,0,Houston Rockets,G,11/12/88,1.91,86.2,41358814,USA,2008,1,4,UCLA,NBA2k21,35,23.628738247306817
Pascal Siakam,88,43,Toronto Raptors,F,04/02/94,2.06,103.0,30559200,Cameroon,2016,1,27,New Mexico State,NBA2k21,30,24.271844660194176
Donovan Mitchell,88,45,Utah Jazz,G,09/07/96,1.85,95.7,5195501,USA,2017,1,13,Louisville,NBA2k21,27,27.962016070124175
Chris Paul,88,3,Oklahoma City Thunder,G,05/06/85,1.85,79.4,41358814,USA,2005,1,4,Wake Forest,NBA2k21,38,23.199415631848066
Bradley Beal,88,3,Washington Wizards,G,06/28/93,1.91,93.9,28751774,USA,2012,1,3,Florida,NBA2k21,30,25.739426002576685
Rudy Gobert,87,27,Utah Jazz,C,06/26/92,2.16,108.0,27525281,France,2013,1,27,,NBA2k21,31,23.148148148148145
Kyle Lowry,87,7,Toronto Raptors,G,03/25/86,1.83,93.0,30500000,USA,2006,1,24,Villanova,NBA2k21,38,27.77031263997133
Kristaps Porzingis,87,6,Dallas Mavericks,F-C,08/02/95,2.21,99.8,29467800,Latvia,2015,1,4,,NBA2k21,28,20.433652054626236
